index,current_price,market_cap,total_volume,date
aed,97411.13900302089,1897514912993.139,21270781486.054085,18-09-2023
ars,9271159.389370471,180618896250893.7,2024458470684.3672,18-09-2023
aud,41192.84981413063,802493922630.7274,8994906703.19586,18-09-2023
bch,126.5414950271376,2466990253.3066115,27631711.49818268,18-09-2023
bdt,2905916.484916446,56605639996372.06,634538464491.861,18-09-2023
bhd,9986.531169315378,194532083463.8745,2180667678.05259,18-09-2023
bmd,26520.98825478389,516614128895.5437,5791146184.464804,18-09-2023
bnb,122.55907567608251,2387505468.039235,26762106.92657924,18-09-2023
brl,129117.431318415,2515135886527.957,28194195199.06682,18-09-2023
btc,1.0,19488731.0,218391.405853954,18-09-2023
cad,35866.45409600463,698663781777.0433,7831830276.94651,18-09-2023
chf,23788.9286497173,463396674249.7546,5194571260.272157,18-09-2023
clp,23461527.04971205,457017522986152.3,5123079560624.951,18-09-2023
cny,192937.53745472705,3758316126302.178,42130009377.36295,18-09-2023
czk,609688.3468904012,11880057991467.775,133132080520.04292,18-09-2023
dkk,185422.12588703985,3611888567450.417,40488937536.19413,18-09-2023
dot,6509.418785890506,126855453755.44,1421402377.726007,18-09-2023
eos,47586.55315829403,927918327467.275,10391041355.888254,18-09-2023
eth,16.346278396664875,318682642.2128597,3569387.6433872967,18-09-2023
eur,24862.15348142368,484300948361.384,5428921572.918902,18-09-2023
gbp,21396.205089370724,416787230926.671,4672094051.509748,18-09-2023
hkd,207574.92172934304,4043448896006.983,45326241406.05431,18-09-2023
huf,9534976.840471968,185734886706672.47,2082065879980.8916,18-09-2023
idr,407188810.70504194,7931811994240174.0,88914104739136.56,18-09-2023
ils,100958.71899692224,1966619801944.8477,22045434155.419064,18-09-2023
inr,2203524.129665394,42923426827507.375,481163455648.6048,18-09-2023
jpy,3920761.239887348,76369000218112.6,856140852536.8744,18-09-2023
krw,35257606.11966904,686798595039890.4,7698881700475.611,18-09-2023
kwd,8190.211592842365,159540775285.5216,1788421764.6864216,18-09-2023
lkr,8557479.30370336,166694946415765.72,1868618663157.8096,18-09-2023
ltc,417.40655896467126,8136322958.211898,91145261.18319932,18-09-2023
mmk,55603760.57599636,1083130389309800.4,12141685777621.48,18-09-2023
mxn,452512.5056280718,8813797635619.932,98811026392.19772,18-09-2023
myr,124224.30898540728,2419820579746.7183,27125728728.033043,18-09-2023
ngn,20793452.75001759,405044916727162.1,4540476523660.178,18-09-2023
nok,285739.77955586684,5565793979069.013,62394388106.04219,18-09-2023
nzd,44918.54476515092,875071491756.8749,9808452710.33566,18-09-2023
php,1508248.5490075862,29379844477061.234,329342471928.2217,18-09-2023
pkr,7864565.151839752,153197363387356.44,1717313323093.6897,18-09-2023
pln,115393.42987929468,2247788591438.6304,25197410244.96863,18-09-2023
rub,2567231.636542092,50008247160474.52,560582944865.0468,18-09-2023
sar,99435.6451624381,1936951169136.509,21712854421.1914,18-09-2023
sek,296108.053830122,5768732924252.424,64658413542.27406,18-09-2023
